Reef_id,site_id,site_name,site_latitude,site_longitude,survey_start_date,Year,survey_depth,transect_id,type,GROUP,COUNT,TOTAL
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36091,point_human_classification,HC,13,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36091,point_machine_classification,HC,16,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36092,point_human_classification,HC,4,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36092,point_machine_classification,HC,4,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36093,point_human_classification,HC,11,60
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36093,point_machine_classification,HC,12,60
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36094,point_human_classification,HC,10,65
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36094,point_machine_classification,HC,7,65
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36095,point_human_classification,HC,1,40
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-03-04T14:00:00Z,2015,9,36095,point_machine_classification,HC,2,40
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36091,point_human_classification,HC,13,45
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36091,point_machine_classification,HC,14,45
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36092,point_human_classification,HC,18,60
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36092,point_machine_classification,HC,19,60
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36093,point_human_classification,HC,12,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36093,point_machine_classification,HC,13,55
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36094,point_human_classification,HC,18,50
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36094,point_machine_classification,HC,19,50
Agincourt Reef No.1,360,Agincourt Reef No.1 Site 1,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36095,point_human_classification,HC,18,50
